#V,vertexid,longitude,latitude,x*,y*
V,1918,-76.981722782,38.8835428107,,
V,1922,-76.98222478,38.8835411996,,
V,1923,-76.9792876234,38.9289587335,,
V,1926,-76.9793390111,38.9295728172,,
V,1927,-77.0402268222,38.9231222907,,
V,1931,-77.0410033384,38.923098048,,
V,1932,-76.9937575287,38.903170983,,
V,1937,-76.9933784599,38.9031692022,,
V,1938,-76.9949638546,38.8926633357,,
V,1942,-76.9949664133,38.8935860531,,
V,1943,-77.0166460169,38.9613235079,,
V,1950,-77.0166453876,38.960173046,,
V,1951,-77.0129765248,38.9533456743,,
V,1954,-77.0135116727,38.9533308193,,
V,1955,-77.0765501497,38.9220905428,,
V,1959,-77.0770513122,38.9220648871,,
V,1960,-77.0269126376,38.8831219002,,
V,2030,-77.0264642487,38.8848563878,,
V,2031,-77.0161721687,38.9126111387,,
V,2035,-77.0161712288,38.912969414,,
V,2036,-76.9962927551,38.8300893943,,
V,2053,-76.9938728697,38.8300408803,,
V,2054,-77.0340803124,38.9813552363,,
V,2058,-77.0355161294,38.9813562476,,
V,2059,-76.9909067852,38.886749323,,
V,2060,-76.9909050223,38.8864506387,,
V,2061,-77.0807170009,38.9225580451,,
V,2074,-77.0805116767,38.9236314387,,
V,2075,-77.0651258352,38.9584855966,,
V,2090,-77.0660392679,38.9586256604,,
V,2091,-77.0319543128,38.8994004536,,
V,2096,-77.0319586502,38.9002122916,,
V,2097,-77.0482659178,38.9081672271,,
V,2100,-77.0482636738,38.908578132,,
V,2101,-76.9741748304,38.9223735357,,
V,2106,-76.9741769801,38.9234451663,,
V,2107,-76.9756139687,38.8642775517,,
V,2109,-76.975102399,38.8640317775,,
V,2110,-77.0091825011,38.9140920573,,
V,2112,-77.0096528184,38.914087504,,
V,2113,-76.9337632267,38.9014914131,,
V,2117,-76.9337606874,38.9019090167,,
V,2118,-77.0091020914,38.8920815888,,
V,2122,-77.0081737086,38.8920378768,,
V,2123,-77.0259930678,38.8875740766,,
V,2125,-77.0259762559,38.8848551551,,
V,2126,-77.0259786087,38.8842123151,,
V,2127,-77.0739352085,38.9275350008,,
V,2128,-77.0740400826,38.9275355346,,
V,2129,-77.028180024,38.9454648499,,
V,2130,-77.0281761148,38.9456087019,,
V,2131,-77.0364275865,38.9429428593,,
V,2132,-77.0364346117,38.9440069966,,
V,2133,-76.9988531932,38.8615759029,,
V,2137,-76.9996678151,38.8612648175,,
V,2138,-76.9374822726,38.8725840299,,
V,2146,-76.9371971949,38.8724185722,,
V,2147,-77.0537474223,38.8953950308,,
V,2150,-77.0537036339,38.8955253559,,
V,2155,-77.0534924752,38.8959367507,,
V,2169,-77.052792483,38.8973663502,,
V,2170,-77.0767266907,38.9678371969,,
V,2176,-77.0757843662,38.9685632456,,
V,2177,-76.9253024744,38.8993185375,,
V,2190,-76.9224477607,38.8986942894,,
V,2191,-76.9920959497,38.8981333179,,
V,2199,-76.9915306007,38.897655272,,
V,2200,-77.0755538105,38.9404893134,,
V,2219,-77.0758468014,38.9410216164,,
V,2220,-76.9862742371,38.9199877461,,
V,2222,-76.9866435468,38.9202230172,,
V,2223,-76.9721667704,38.913714576,,
V,2227,-76.9721673797,38.9140832485,,
V,2228,-76.9931476514,38.8468376437,,
V,2244,-76.9925259786,38.8464500624,,
V,2245,-77.0296221115,38.9140960498,,
V,2250,-77.030401862,38.9140977036,,
V,2251,-76.9885077825,38.8427827667,,
V,2252,-76.9885078866,38.8425157805,,
V,2253,-76.9961701296,38.8947954724,,
V,2255,-76.9961684961,38.8949474311,,
V,2256,-76.9855157864,38.8780590624,,
V,2260,-76.9855146378,38.8775220549,,
V,2261,-77.0012375394,38.9602681373,,
V,2267,-77.0010482056,38.9605303696,,
V,2268,-77.0278889546,38.8904809583,,
V,2307,-77.0275485351,38.8920914679,,
V,2308,-77.0144355824,38.9164037617,,
V,2309,-77.0144593265,38.916613158,,
V,2310,-77.078776087,38.9206897812,,
V,2313,-77.0793046935,38.9206895419,,
V,2314,-76.9961762793,38.8876024658,,
V,2317,-76.9956831881,38.8876022679,,
V,2318,-77.0090514936,38.9557065499,,
V,2321,-77.0084673209,38.9557068139,,
V,2346,-77.0523902886,38.890016921,,
V,2348,-77.052127091,38.8905115148,,
V,2349,-76.9984522821,38.8431170765,,
V,2355,-76.9984503506,38.8418857116,,
V,2356,-76.9710560793,38.9173969367,,
V,2450,-76.956780684,38.917358701,,
V,2451,-77.0862103557,38.9506754338,,
V,2458,-77.0886372678,38.9506885822,,
V,2459,-77.0425722968,38.9879726288,,
V,2482,-77.0430268709,38.9888326309,,
V,2483,-77.0255197873,38.9512739753,,
V,2485,-77.0255344413,38.9515612476,,
V,2486,-77.0574749829,38.958413719,,
V,2495,-77.057476758,38.9603322644,,
V,2496,-76.9796433385,38.904977713,,
V,2502,-76.9794642624,38.9056350464,,
V,2503,-76.9893978875,38.9128867119,,
V,2513,-76.9886751781,38.9135600174,,
V,2514,-77.0149020308,38.9613225114,,
V,2518,-77.0149025679,38.9623358443,,
V,2519,-77.090506258,38.9559572015,,
V,2521,-77.0907804196,38.9561506487,,
V,2522,-76.9834135109,38.921747262,,
V,2524,-76.9837819281,38.9214146673,,
V,2525,-76.9812627349,38.8990358749,,
V,2529,-76.9814588436,38.8984307464,,
V,2530,-77.0790456433,38.9163775797,,
V,2552,-77.0797188828,38.9154074649,,
V,2553,-76.947716552,38.8630051596,,
V,2560,-76.9467615152,38.8637497773,,
V,2561,-77.0208814545,38.9409377631,,
V,2566,-77.0215720375,38.9409165582,,
V,2575,-76.9575142247,38.8860154527,,
